SKU,Barcode,Name,Price
516,41789001956,Fideos Instantaneos sabor Camaron Maruchan 64g,1400
517,41789001987,Fideos Instantaneos sabor Camaron y Chile Piquin Maruchan,1400
518,41789001925,Fideos Instantaneos sabor Carne de Res Maruchan,1400
519,41789001840,Fideos Instantaneos sabor Pollo Picante Maruchan,1400
520,7802410350118,Salsa Alfredo Gourmet 41g,800
521,7613031571529,Salsa de Champiñones Maggi 45g,800
522,7802950006575,Base de Hamburguesas Maggi 90g,800
523,7613031259823,Base de Carne a la Cacerola Maggi 36g,800
524,8445290864703,Crema de Zapallo Maggi 45g,800
525,8445290846853,Crema de Tomate Maggi 45g,800
526,7802950004427,Base de Pescado Frito 85g,800
527,7802950006735,Crema de Esparragos Maggi 68g,800
528,7802950006629,Sopa de Pollo Arroz Maggi 70g,800
529,7613030612247,Sopa Costilla Fideos Maggi 60g,800
530,7802950006612,Sopa pollo fideos Maggi 70g,800
531,8445291584563,Sobre Café Capuccino Nescafe 14g,700
532,7613033458538,Sobre Café Vainilla Late Nescafe 18.5g,700
533,7613033458507,Sobre Café Moka Nescafe 18g,700
534,7802950002119,Tarro de café Tradicional Nescafe 50g,2500
535,41500779874,Salsa BBQ Cattlemen's 510g,4800
536,7802351234607,Crema de aji Chileno en botella DonJuan 240g,1500
537,7802351241018,Aji Pebre en botella Donjuán 240g,1500
538,7802640000142,Aji chileno en bolsita 100g,650
539,7802351633301,Salsa Tartara en bolsa DonJuan 250g,1800
540,7805000322526,Mostaza en Bolsa grande JB 900g,2200
541,7802351611002,Bolsa de Kétchup DonJuan 100g,550
542,7805000301484,Mayonesa en bolsa Hellmann's,950
543,7802640600076,Mostaza en bolsa JB 100g,550
544,7802800533565,Tarro Papas Kryzpo 130g,2200
545,614143259272,Tarro Papas ElArriero 160g,2400
546,614143259265,Tarro Papas Ciboulette Elarriero 160g,2400
547,614143259258,Tarro Papas Queso ElArriero 160g,2400
548,7802200266056,Sobre de Jugo Limonada Vivo 7g,250
549,7802200266278,Sobre de Jugo Pera de Agua Vivo 7g,250
550,7802800579587,Sobre de jugo Mango 20g Zuko,250
551,7802800570003,Sobre de Jugo Lulada 20g Zuko,250
552,7802800579297,Sobre de Jugo Huesillo Zuko 20g,250
553,7802200266049,Sobre de Jugo Piña ViVo 7g,250
554,7802200266001,Sobre de Jugo Naranja ViVo 8g,250
555,7802200266063,Sobre de Jugo Manzana ViVo 7g,250
556,7802200266032,Sobre de Jugo Durazno ViVo 7g,250
557,7802200266070,Sobre de Jugo Frutilla ViVo 7g,250
558,7802200267299,Sobre de Jugo Granada ViVo 7g,250
559,7802800576418,Sobre de Jugo 0%Azucar Naranja ViVo 7g,0
560,7802800576449,Sobre de Jugo 0%Azucar Durazno ViVO 7g,250
561,7802800570805,Sobre de Jugo Guayaba ViVO 20g,250
562,7802800578535,Sobre de Jugo Limonada Zuko 20g,250
563,7613287558947,Bolsa de Manjar ElManjar Nestlé 400g,250
564,7613038639161,Bolsa de Manjar grande ElManjar Nestlé 800g,4200
565,7702024614906,Sobrecito de leche condensada Nestle 25g,300
566,7613030049883,Lata de Leche condensada Nestlé 397g,0
567,7613032414580,Lata de Crema de leche Nestlé 157g,1400
568,7802950022322,Cajita de Crema de leche Nestlé 200ml,1500
569,7613030264088,"Comida de bebes Colado Pollo y Verduras Nestlé ""Naturnes"" 215g",2200
